CL, Tau_in, Rise Time, Fall Time, Clock-to-Q-HL, Clock-to-Q-LH
3.500000e-15,1.772727e-10,2.600000e-10,1.600000e-10,3.700000e-10,3.300000e-10
3.500000e-15,2.772727e-10,2.600000e-10,1.600000e-10,4.200000e-10,3.700000e-10
3.500000e-15,3.772727e-10,2.700000e-10,1.600000e-10,4.600000e-10,4.100000e-10
3.500000e-15,4.772727e-10,2.800000e-10,1.600000e-10,5.000000e-10,4.400000e-10
3.500000e-15,5.681818e-10,2.800000e-10,1.600000e-10,5.400000e-10,4.800000e-10
3.500000e-15,6.681818e-10,2.900000e-10,1.600000e-10,5.600000e-10,5.100000e-10
3.500000e-15,7.636364e-10,2.900000e-10,1.600000e-10,5.900000e-10,5.400000e-10
4.000000e-15,7.727273e-11,2.600000e-10,1.600000e-10,3.200000e-10,2.900000e-10
4.000000e-15,1.772727e-10,2.600000e-10,1.600000e-10,3.700000e-10,3.300000e-10
4.000000e-15,2.772727e-10,2.600000e-10,1.600000e-10,4.200000e-10,3.700000e-10
4.000000e-15,3.772727e-10,2.700000e-10,1.600000e-10,4.600000e-10,4.100000e-10
4.000000e-15,4.772727e-10,2.800000e-10,1.600000e-10,5.000000e-10,4.400000e-10
4.000000e-15,5.681818e-10,2.800000e-10,1.600000e-10,5.400000e-10,4.800000e-10
4.000000e-15,6.681818e-10,2.900000e-10,1.600000e-10,5.600000e-10,5.100000e-10
4.000000e-15,7.636364e-10,2.900000e-10,1.600000e-10,5.900000e-10,5.400000e-10
4.500000e-15,7.727273e-11,2.600000e-10,1.600000e-10,3.200000e-10,2.900000e-10
4.500000e-15,1.772727e-10,2.600000e-10,1.600000e-10,3.700000e-10,3.300000e-10
4.500000e-15,2.772727e-10,2.600000e-10,1.600000e-10,4.200000e-10,3.700000e-10
4.500000e-15,3.772727e-10,2.700000e-10,1.600000e-10,4.600000e-10,4.100000e-10
4.500000e-15,4.772727e-10,2.800000e-10,1.600000e-10,5.000000e-10,4.400000e-10
4.500000e-15,5.681818e-10,2.800000e-10,1.600000e-10,5.400000e-10,4.800000e-10
4.500000e-15,6.681818e-10,2.900000e-10,1.600000e-10,5.600000e-10,5.100000e-10
4.500000e-15,7.636364e-10,2.900000e-10,1.600000e-10,5.900000e-10,5.400000e-10
5.000000e-15,7.727273e-11,2.600000e-10,1.600000e-10,3.200000e-10,2.900000e-10
5.000000e-15,1.772727e-10,2.600000e-10,1.600000e-10,3.700000e-10,3.300000e-10
5.000000e-15,2.772727e-10,2.600000e-10,1.600000e-10,4.200000e-10,3.700000e-10
5.000000e-15,3.772727e-10,2.700000e-10,1.600000e-10,4.600000e-10,4.100000e-10
5.000000e-15,4.772727e-10,2.800000e-10,1.600000e-10,5.000000e-10,4.400000e-10
5.000000e-15,5.681818e-10,2.800000e-10,1.600000e-10,5.400000e-10,4.800000e-10
5.000000e-15,6.681818e-10,2.900000e-10,1.600000e-10,5.600000e-10,5.100000e-10
5.000000e-15,7.636364e-10,2.900000e-10,1.600000e-10,5.900000e-10,5.400000e-10
5.500000e-15,7.727273e-11,2.600000e-10,1.600000e-10,3.200000e-10,2.900000e-10
5.500000e-15,1.772727e-10,2.600000e-10,1.600000e-10,3.700000e-10,3.300000e-10
5.500000e-15,2.772727e-10,2.600000e-10,1.600000e-10,4.200000e-10,3.700000e-10
5.500000e-15,3.772727e-10,2.700000e-10,1.600000e-10,4.600000e-10,4.100000e-10
5.500000e-15,4.772727e-10,2.800000e-10,1.600000e-10,5.000000e-10,4.400000e-10
5.500000e-15,5.681818e-10,2.800000e-10,1.600000e-10,5.400000e-10,4.800000e-10
5.500000e-15,6.681818e-10,2.900000e-10,1.600000e-10,5.600000e-10,5.100000e-10
5.500000e-15,7.636364e-10,2.900000e-10,1.600000e-10,5.900000e-10,5.400000e-10
6.000000e-15,7.727273e-11,2.600000e-10,1.600000e-10,3.200000e-10,2.900000e-10
6.000000e-15,1.772727e-10,2.600000e-10,1.600000e-10,3.700000e-10,3.300000e-10
6.000000e-15,2.772727e-10,2.600000e-10,1.600000e-10,4.200000e-10,3.700000e-10
6.000000e-15,3.772727e-10,2.700000e-10,1.600000e-10,4.600000e-10,4.100000e-10
6.000000e-15,4.772727e-10,2.800000e-10,1.600000e-10,5.000000e-10,4.400000e-10
6.000000e-15,5.681818e-10,2.800000e-10,1.600000e-10,5.400000e-10,4.800000e-10
6.000000e-15,6.681818e-10,2.900000e-10,1.600000e-10,5.600000e-10,5.100000e-10
6.000000e-15,7.636364e-10,2.900000e-10,1.600000e-10,5.900000e-10,5.400000e-10
6.500000e-15,7.727273e-11,2.600000e-10,1.600000e-10,3.200000e-10,2.900000e-10
6.500000e-15,1.772727e-10,2.600000e-10,1.600000e-10,3.700000e-10,3.300000e-10
6.500000e-15,2.772727e-10,2.600000e-10,1.600000e-10,4.200000e-10,3.700000e-10
6.500000e-15,3.772727e-10,2.700000e-10,1.600000e-10,4.600000e-10,4.100000e-10
6.500000e-15,4.772727e-10,2.800000e-10,1.600000e-10,5.000000e-10,4.400000e-10
6.500000e-15,5.681818e-10,2.800000e-10,1.600000e-10,5.400000e-10,4.800000e-10
6.500000e-15,6.681818e-10,2.900000e-10,1.600000e-10,5.600000e-10,5.100000e-10
6.500000e-15,7.636364e-10,2.900000e-10,1.600000e-10,5.900000e-10,5.400000e-10
7.000000e-15,7.727273e-11,2.600000e-10,1.600000e-10,3.200000e-10,2.900000e-10
7.000000e-15,1.772727e-10,2.600000e-10,1.600000e-10,3.700000e-10,3.300000e-10
7.000000e-15,2.772727e-10,2.600000e-10,1.600000e-10,4.200000e-10,3.700000e-10
7.000000e-15,3.772727e-10,2.700000e-10,1.600000e-10,4.600000e-10,4.100000e-10
7.000000e-15,4.772727e-10,2.800000e-10,1.600000e-10,5.000000e-10,4.400000e-10
7.000000e-15,5.681818e-10,2.800000e-10,1.600000e-10,5.400000e-10,4.800000e-10
7.000000e-15,6.681818e-10,2.900000e-10,1.600000e-10,5.600000e-10,5.100000e-10
7.000000e-15,7.636364e-10,2.900000e-10,1.600000e-10,5.900000e-10,5.400000e-10
7.500000e-15,7.727273e-11,2.600000e-10,1.600000e-10,3.200000e-10,2.900000e-10
7.500000e-15,1.772727e-10,2.600000e-10,1.600000e-10,3.700000e-10,3.300000e-10
7.500000e-15,2.772727e-10,2.600000e-10,1.600000e-10,4.200000e-10,3.700000e-10
7.500000e-15,3.772727e-10,2.700000e-10,1.600000e-10,4.600000e-10,4.100000e-10
7.500000e-15,4.772727e-10,2.800000e-10,1.600000e-10,5.000000e-10,4.400000e-10
